"AppName","appversion","LatestVersion","Website","InstalledVersion","Status","License","SourceKey","SearchUrl","Observacao","IsNewVersion","SourceId","IconUrl","TipoApp","IsDeleted"
"CrowdStrike 7.15.18511 - WKS e SRV PRO","","7.15.18511","https://www.crowdstrike.com/en-us/products/faq/","7.15.18511","UpToDate","Licensed","crowdstrike",,,"False",,,"app comercial","False"
"Cygwin - 3.6.2","3.6.2","3.6.9","https://www.cygwin.com/","3.6.2","UpdateAvailable","Free","cygwin","https://community.chocolatey.org/packages/cygwin",,"False",,,"app comercial","False"
"Databrick CLI","0.260.0","0.299.0","https://anaconda.org/conda-forge/databricks-cli","0.260.0","UpdateAvailable","Free","databrick cli","https://anaconda.org/conda-forge/databricks-cli/files",,"True",,,"app comercial","False"
"DataGrip 2025.3.5","2025.3.5",,"https://www.jetbrains.com/datagrip/download/","25.3.5","Unknown","Free","datagrip","https://data.services.jetbrains.com/products/releases?code=DB&latest=true&type=release",,"False",,,"app comercial","False"
"Dax Studio 03-2026","3.5.1","3.5.1","https://daxstudio.org/downloads/","3.5.1","UpToDate","Free","dax studio","https://github.com/DaxStudio/DaxStudio/releases/latest",,"False",,"https://daxstudio.org/img/favicon.ico","app comercial","False"
"Dbeaver 04-2026","26.0.2","26.0.4","https://dbeaver.io/download/","26.0.2","UpdateAvailable","Free","dbeaver","https://github.com/dbeaver/dbeaver/releases/latest",,"True",,"https://dbeaver.io/favicon.ico","app comercial","False"
"DBVisualizer 03-2026","26.1","26.1","https://www.dbvis.com/download/","26.1","UpToDate","Free","dbvisualizer","https://www.dbvis.com/download/",,"False",,"https://www.dbvis.com/favicon.ico","app comercial","False"
"Design Review - 14.0.0.177","14.0.0.177","14.0.0.177","https://www.autodesk.com/products/design-review/download","14.0.0.177","UpToDate","Free","design review",,,"False",,,"app comercial","False"
"Diligent","",,,,"Unknown","Licensed","diligent",,,"False",,,"app comercial","True"
"DWG True View - 31.1.122.0","31.1.122.0","2027.26.0.60","https://www.autodesk.com/products/dwg-trueview/overview","31.1.122.0","UpdateAvailable","Free","dwg true view","https://community.chocolatey.org/api/v2/FindPackagesById()?id=%27dwgtrueview%27&filter=IsLastVersion%20eq%20true",,"False",,,"app comercial","False"
"EasyDoc 1","1.0",,,"1.0","Unknown","Free","easydoc",,,"False",,,"app interno","True"
"Eclipse IDE","2025-03","2026-03","https://www.eclipse.org/downloads/","25","UpToDate","Free","eclipse ide","https://www.eclipse.org/downloads/packages/",,"False",,"https://download.eclipse.org/eclipse.org-common/themes/solstice/public/images/logo/eclipse-400x400.png","app comercial","False"
"Eclipse Temurin JDK with Hotspot 24.0.1+9 (x64)","24.0.1+9 (x64)","25.0.3+9-LTS","https://adoptium.net/pt-BR/temurin/releases/","24.0.1","UpdateAvailable","Free","eclipse temurin jdk with hotspot","https://api.adoptium.net/v3/assets/latest/25/hotspot?vendor=eclipse&os=windows&architecture=x64&image_type=jdk",,"True",,"https://adoptium.net/favicon.ico","app comercial","False"
"EPM Automate","25.10.43",,,"25.10.43","Unknown","Free","epm automate",,,"False",,,"app comercial","True"
"Erlang OTP 04-2026","26.2.5.18","1.7.1","https://opentoonz.github.io/","26.2.5.18","UpToDate","Free","erlang otp",,,"False","OT","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=OT","app comercial","False"
"Eurofac","",,,,"Unknown","Licensed","eurofac",,,"False",,,"app comercial","True"
"FFmpeg","8.0","8.1","https://ffmpeg.org/","8.0","UpdateAvailable","Free","ffmpeg","https://ffmpeg.org/download.html",,"False",,"https://ffmpeg.org/favicon.ico","app comercial","False"
"Figma 04-2026","126.3.12.0",,"https://www.figma.com/downloads/","126.3.12.0","Unknown","Free","figma","https://desktop.figma.com/mac/version.txt",,"False",,,"app comercial","False"
"Four Js Genero Desktop Client","3.10.23","6.0","https://4js.com/download/","3.10.23","UpdateAvailable","Free","four js genero desktop client","https://4js.com/online_documentation/fjs-genero-manual-install-html/genero-install-topics/c_gdc_install.html",,"False",,,"app comercial","False"
"FreePlane","1.12.8","1.13.2","https://github.com/freeplane/freeplane","1.12.8","UpdateAvailable","Free","freeplane","https://github.com/freeplane/freeplane/releases/latest",,"False","Freeplane","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Freeplane","app comercial","False"
"Gephi 0.10.1","0.10.1","0.10.1","https://gephi.org/","0.10.1","UpToDate","Free","gephi","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'gephi'%20and%20IsLatestVersion",,"False",,,"app comercial","False"
"Gestimo","",,,,"Unknown","Free","gestimo",,,"False",,,"app interno","True"
"GESVENGRH_CLIENT - PRO (270.2.8.0)","",,,"270.2.8.0","Unknown","Free","gesvengrh_client - pro (270.2.8.0)",,,"False",,,"app interno","True"
"Gimp 03-2026","3.2.2","3.2.4.0","http://www.gimp.org/","3.2.2","UpdateAvailable","Free","gimp","https://github.com/GNOME/gimp/releases/latest",,"False","GIMP","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=GIMP","app comercial","False"
"GisUP - Fundos de Pensões - Unidades de Participação","",,,,"Unknown","Free","gisup - fundos de pensões - unidades de participação",,,"False",,,"app comercial","True"
"GIT 04-2026","2.54.0","2.54.0","https://git-scm.com/download/win","2.54.0","UpToDate","Free","git","https://api.github.com/repos/git-for-windows/git/releases/latest",,"True",,"https://git-scm.com/favicon.ico","app comercial","False"
"Git Extensions 5.2.1","","6.0.5.18375","https://gitextensions.github.io/","5.2.1","UpdateAvailable","Free","git extensions",,,"False","Git Extensions","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Git Extensions","app comercial","False"
"GitHub Desktop 03-2026","3.5.6.0","3.5.8.0","https://desktop.github.com/","3.5.6.0","UpdateAvailable","Free","github desktop",,,"True","GitHub Desktop","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=GitHub Desktop","app comercial","False"
"Gitkraken","11.2.1","12.0.1","https://www.gitkraken.com/download","11.2.1","UpdateAvailable","Free","gitkraken","https://help.gitkraken.com/gitkraken-desktop/current/",,"False",,"https://www.gitkraken.com/favicon.ico","app comercial","False"
"Google Chrome 04-2026-2","147.0.7727.102","148.0.7778.97","https://chromeenterprise.google/intl/pt_br/download/?modal-id=download-chrome","147.0.7727.102","UpdateAvailable","Free","google chrome","https://googlechromelabs.github.io/chrome-for-testing/last-known-good-versions.json",,"True",,"https://www.google.com/chrome/static/images/favicons/favicon-32x32.png","app comercial","False"
"GPDocs Client","",,,,"Unknown","Free","gpdocs client",,,"False",,,"app comercial","True"
"HAL para Cockpit 1.0.6 - Multi-Ambiente","1.0.6",,,"1.0.6","Unknown","Free","hal para cockpit",,,"False",,,"app interno","True"
"HEIF Image Extension","1.1.861.0",,,"1.1.861.0","Unknown","Free","heif image extension",,,"False",,,"app comercial","True"
"Helm","4.0.2","4.1.4","https://helm.sh/","4.0.2","UpdateAvailable","Free","helm","https://community.chocolatey.org/api/v2/Packages()?$filter=Id%20eq%20'kubernetes-helm'%20and%20IsLatestVersion",,"True",,"https://helm.sh/favicon.ico","app comercial","False"
"HEVC Video Extension","2.1.1161.0",,,"2.1.1161.0","Unknown","Free","hevc video extension",,,"False",,,"app comercial","True"
"HxD","","2.5","https://mh-nexus.de/en/hxd/",,"UpdateAvailable","Free","hxd","https://mh-nexus.de/en/hxd/",,"True",,,"app comercial","False"
"Ibm Iseries","15.0.0.498",,,"15.0.0.498","Unknown","Free","ibm iseries",,,"False",,,"app comercial","True"
"IBM MQ Explorer 9.1.3.0","9.1.3.0",,,"9.1.3.0","Unknown","Free","ibm mq explorer",,,"False",,,"app comercial","True"
"IDEA 12.3","","253.29346.138","https://www.jetbrains.com/idea","12.3","UpdateAvailable","Free","idea",,,"False","IntelliJ-IDEA","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=IntelliJ-IDEA","app comercial","False"
"IntelliJ IDEA 2025.3.1.1","2025.3.1.1",,"https://www.jetbrains.com/idea/download/","2025.3.1.1","Unknown","Free","intellij idea","https://data.services.jetbrains.com/products/releases?code=IIU&latest=true&type=release",,"False",,,"app comercial","False"
"IntelliJ IDEA Uninstall","",,,,"Unknown","Free","intellij idea uninstall",,,"False",,,"app interno","True"
"Jabra Direct 03-2026","6.27.3702","6.27.3702","https://www.jabra.com.de/software-and-services/jabra-direct","6.27.3702","UpToDate","Free","jabra direct",,,"False","Jabra Direct","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=Jabra Direct","app comercial","False"
"Java 8 Update 491","8.0.4910.10","8.0.4910.10","http://java.com","8.0.4910.10","UpToDate","Free","java",,,"True","JavaRuntime8","https://cdn.ruckzuck.tools/rest/v2/geticon?shortname=JavaRuntime8","app comercial","False"
"Java SE Development Kit 17.0.18 - script","17.0.18","26.0.1","https://www.oracle.com/java/technologies/downloads/","17.0.18","UpdateAvailable","Free","java se development kit 17","https://www.oracle.com/java/technologies/downloads/",,"False",,,"app comercial","False"
"Java SE Development Kit 21.0.10 - script","21.0.10","26.0.1","https://www.oracle.com/java/technologies/downloads/","21.0.10","UpdateAvailable","Free","java se development kit 21","https://www.oracle.com/java/technologies/downloads/",,"False",,,"app comercial","False"
"Java SE Development Kit 8u481 - script","8u481","8u491","https://www.oracle.com/java/technologies/downloads/","8","UpdateAvailable","Free","java se development kit 8","https://www.oracle.com/java/technologies/downloads/",,"False",,,"app comercial","False"
"JDAI - 52.49.0.0","52.49.0.0",,,"52.49","Unknown","Free","jdai",,,"False",,,"app interno","True"
"Jetbrains-toolbox","2.6.2.41321",,"https://www.jetbrains.com/toolbox-app/","2.6.2.41321","Unknown","Free","jetbrains-toolbox","https://data.services.jetbrains.com/products/releases?code=TBA&latest=true&type=release",,"False",,,"app comercial","False"
"JPG to SVG Free","1.0.0.0",,,"1.0","Unknown","Free","jpg to svg free",,,"False",,,"app comercial","False"
"JSON-Viewer (plugin for Notepad++)","2.0.7.0",,,"2.0.7.0","Unknown","Free","json-viewer (plugin for notepad++)",,,"False",,,"app comercial","True"
"KeePassXC 03-2026","2.7.12","2.7.12","https://keepassxc.org/","2.7.12","UpToDate","Free","keepassxc","https://github.com/keepassxreboot/keepassxc/releases/latest",,"False",,"https://keepassxc.org/favicon.ico","app comercial","False"
