System_Name3,Version2,ADGRoup2,Collection2,CollectionType
GESVENGRH_CLIENT - PRO (270.2.8.0),,CENTRAL\gga-app-gesven,USR - SFT - GESVEN,User
Gimp 03-2026,3.2.2,CENTRAL\GGA-APP-GIMP,USR - SFT - GIMP,User
GisUP - Fundos de Pensões - Unidades de Participação,,CENTRAL\GGA-APP-GISUP,USR - SFT - GISUP,User
GIT 04-2026,2.54.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Git Extensions 5.2.1,,,USR - SFT - ALL USERS(Rede e Central),User
Git Extensions 5.2.1,,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
GitHub Desktop 03-2026,3.5.6.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Gitkraken,11.2.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Google Chrome 04-2026-2,147.0.7727.102,,USR - SFT - ALL USERS(Rede e Central),User
GPDocs Client,,CENTRAL\GGA-APP-GPDOCS,USR - SFT - GPDOCS,User
HAL para Cockpit 1.0.6 - Multi-Ambiente,1.0.6,,USR - SFT - ALL USERS(Rede e Central),User
HAL para Cockpit 1.0.6 - Multi-Ambiente,1.0.6,,USR - SFT - CENTRAL,User
HEIF Image Extension,1.1.861.0,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
HEIF Image Extension,1.1.861.0,,USR - SFT - HEIF - HEVC,User
Helm,4.0.2,CENTRAL\GGA-APP-HELM,USR - SFT - HELM,User
HEVC Video Extension,2.1.1161.0,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
HEVC Video Extension,2.1.1161.0,,USR - SFT - HEIF - HEVC,User
HxD,,CENTRAL\GGA-APP-HXD,USR - SFT - HXD,User
Ibm Iseries,15.0.0.498,CENTRAL\GGA-APP-IBMiSERIES,USR - SFT - IBMiSERIES,User
IBM MQ Explorer 9.1.3.0,9.1.3.0,CENTRAL\GGA-APP-IBM_MQ_EXPLORER,USR - SFT - IBM MQ EXPLORER,User
IDEA 12.3,,CENTRAL\GGA-APP-IDEA,USR - SFT - IDEA,User
IntelliJ IDEA 2025.3.1.1,2025.3.1.1,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
IntelliJ IDEA Uninstall,,,WVTIER0300039 - Lucas,Device
Jabra Direct 03-2026,6.27.3702,CENTRAL\GGA-APP-JABRA,USR - SFT - JABRA DIRECT,User
Java 8 Update 491,8.0.4910.10,,USR - SFT - ALL USERS(Rede e Central),User
Java SE Development Kit 17.0.18 - script,17.0.18,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Java SE Development Kit 21.0.10 - script,21.0.10,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Java SE Development Kit 8u481 - script,8u481,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
JDAI - 52.49.0.0,52.49.0.0,,Maquina Fabio,Device
Jetbrains-toolbox,2.6.2.41321,CENTRAL\GGA-APP-JETBRAINS,USR - SFT - JETBRAINS,User
JPG to SVG Free,1.0.0.0,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
JSON-Viewer (plugin for Notepad++),2.0.7.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
KeePassXC 03-2026,2.7.12,,All Users,User
Keystore Explorer,5.6.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
LDAPAdmin - 1.8.3,1.8.3,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Login Agent - PRE,,CENTRAL\BP_Developer_DEV,USR - SFT - BLUE PRISM,User
Login Agent - PRO,,CENTRAL\BP_Developer_DEV,USR - SFT - BLUE PRISM,User
Maven Apache 03-2026,3.9.14,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Mercury x64,,CENTRAL\GGA-APP-MERCURY,USR - SFT - MERCURY,User
Mercury x86,,CENTRAL\GGA-APP-MERCURY,USR - SFT - MERCURY,User
Microsoft Azure CLI (64-bit) - 2.81.0,2.81.0,CENTRAL\GGA-APP-CloudPT Team,USR - SFT - Cloud PT,User
Microsoft Azure PowerShell - April 2025,,CENTRAL\GGA-APP-CloudPT Team,USR - SFT - Cloud PT,User
Microsoft Office 365 x64 - 02-2026,,,All Users and User Groups,User
Microsoft Office 365 x86 - 02-2026,,,All Users and User Groups,User
Microsoft Power BI Desktop 04-2026,2.152.1279.0,CENTRAL\GGA-APP-POWERBI,USR - SFT - POWERBI,User
Microsoft Report Builder,,,USR - SFT - ALL USERS(Rede e Central),User
Microsoft Teams 04-2026,26072.519.4556.7438,,USR - SFT - ALL USERS(Rede e Central),User
MongoDB Command Line Database Tools,100.10.0,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
MongoDB Compass,,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
MongoDB Shell,2.3.4,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Murex MX.3 PRE-2025,2025-PRE,CENTRAL\GGA-APP-MUREX_MX3,USR - SFT - MUREX_MX3,User
Murex MX.3 PRO-2025,v62,CENTRAL\GGA-APP-MUREX_MX3,USR - SFT - MUREX_MX3,User
Neo4j-community,2025.10.1,CENTRAL\GGA-APP-NEO4J,USR - SFT - NEO4J,User
Neo4j-Desktop,2.1.1.0,CENTRAL\GGA-APP-NEO4J,USR - SFT - NEO4J,User
Netbeans IDE,26,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Netskope Client - 132.0.20,,,All Users,User
Node.js 03-2026,25.8.2,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Notepad++ 03-2023,8.9.3,CENTRAL\GGA-APP-DEV_TOOLS,USR - SFT - DEV_TOOLS,User
Notepad++ 03-2023,8.9.3,CENTRAL\GGA-APP-NOTEPAD,USR - SFT - NOTEPAD,User
NVDA 03-2026,2025.3.3,CENTRAL\GGA-APP-NVDA,USR - SFT - NVDA,User
Obsidian,1.9.14,CENTRAL\GGA-APP-OBSIDIAN,USR - SFT - OBSIDIAN,User
OffSetExplorer,3.0.3.0,CENTRAL\GGA-APP-OFFSETEXPLORER,USR - SFT - OFFSETEXPLORER,User
Omnissa Horizon Client 8,8.16.2,CENTRAL\GGA-APP-VMWAREHORIZON,USR - SFT - VMWAREHORIZON,User
OneDrive - 01-2026,25.238.1204.0001,,All Users and User Groups,User
OpenSSL 3.5.2 (64-bit),3.5.2 (64-bit),CENTRAL\GGA-APP-OPENSSL,USR - SFT - OPENSSL,User
Opentext Validation for SAP Solutions CE 21.2,,CENTRAL\GGA-APP-OPENTEXT_SAP,USR - SFT - OPENTEXT - SAP,User
OpenText Windows Validation Client for SAP Solutions CE 24.4,24.4.5.1,CENTRAL\GGA-APP-OPENTEXT_SAP,USR - SFT - OPENTEXT - SAP,User
Oracle 11_x64,11_x64,CENTRAL\GGA-APP-ORACLE11,USR - SFT - ORACLE11,User
Oracle 19 X64,,,USR - SFT - ORACLE19 X64,User
Oracle 19 X86,,,USR - SFT - ORACLE19 X86,User
Oracle Client,11g R2,CENTRAL\GG-SCCM-HELPDESK,EndUser Catalog,User
